Locations,EFT Name,Remote Services Name,Insurance Limit Name,Address
(AMITY) S&S WHOLESALE & RETAIL SUPERMARKET,AMITY S & S WHOLESALE & RETAIL SUPERMARKET,AMITY S & S WHOLESALE & RETAIL SUPERMARKET,Amity SS Wholesale and Retail,"Amity Cross, Strathbogie"
1920 Investments Limited,0,0,0,#N/A
Advance Service Station,ADVANCE SERVICE STATION,ADVANCE SERVICE STATION,Advance Service Station,"992 Albion Boulevard, Yallahs, St Thomas "
Akana (Ocho Rios FSC),AKANA ENTERPRISES,AKANA ENTERPRISES,Akana ,"Shops 9&10, Brown's Plaza
40 Main Street
Ocho Rios"
Almer Farms Ltd,ALMER FARMS LIMITED,ALMER FARMS LIMITED,0,#N/A
ANDKAR FINANCE LIMITED - PHONEYARD NEW,ANDKAR FINANCE LTD. PORT HENDERSON,ANDKAR FINANCE LTD. PORT HENDERSON,Andkar Financial- Portmore,"Shop #14 Port Henderson Plaza,
Port Henderson
Portmore"
ANDKAR FINANCE LIMITED (GKMS MAYPEN),ANDKAR FINANCE LTD. MAY PEN,ANDKAR FINANCE LTD. MAY PEN,Andkar Financial - May Pen,"Shop #11 Bargain Village
37 Main Street 
 May Pen  "
ANNOTTO BAY FOUNDATION,0,0,0,#N/A
ANYMONEY SUPERMARKET,0,0,0,#N/A
ATC MONEY SERVICES,0,0,0,#N/A
AUTO TECH,0,0,0,#N/A
AUTO-PRO BODY REPAIR LIMITED,0,0,0,#N/A
B.G.s Incorporated,0,0,0,#N/A
BARNETTS EMPORIUM,BARNETTS EMPORIUM,BARNETTS EMPORIUM,BARNETTS EMPORIUM,"Main Road, 
Porus"
BEJON LIMITED,BEJON LIMITED,BEJON LIMITED,BEJON LIMITED,#N/A
BENSON'S PHARMACY LIMITED,0,0,0,#N/A
BENSON'S PHARMACY LIMITED BRUNSWICK,0,0,0,#N/A
BERRY-DON FINANCIAL SERVICES LTD,BERRYDON MONEY SERVICES - LINSTEAD,BERRYDON MONEY SERVICES - LINSTEAD,Berry Don Financial Services,"25A King Street 
Linstead"
BERRY-DON FINANCIAL SERVICES LTD - Samm's Mall,BERRY-DON MONEY SERVICES LIMITED - SAMMS MALL,BERRY-DON MONEY SERVICES LIMITED - SAMMS MALL,Berry Don Financial Services- Samms Mall,"21 King Street
Samantha's Mall
Linstead"
BLU MENTHAL  PRINCESS STREET,THE BLU MENTHAL PRINCESS STREET,THE BLU MENTHAL PRINCESS STREET,BLU Menthal Princess Street ,"115-119 Princess Street, Kingston "
BLU MENTHAL MANOR PARK,THE BLU MENTHAL COMPANY LTD. MANOR PARK,THE BLU MENTHAL COMPANY LTD. MANOR PARK,BLU MENTHAL MANOR PARK,"Shop 19, Lower Manor Park Plaza, Constant Spring Road Kingston 8"
BLU MENTHAL SHORTWOOD ROAD,THE BLU MENTHAL COMPANY LTD. SHORTWOOD RD.,THE BLU MENTHAL COMPANY LTD. SHORTWOOD RD.,BLU MENTHAL SHORTWOOD,"10 Shortwood Road
Kingston 8"
BLUE OCEAN HARDWARE (GREENISLAND) ,0,0,0,#N/A
BOULEVARD FINANCIAL CENTRE,STAPHARM SERVICES LTD. BOULEVARD,STAPHARM SERVICES LTD. BOULEVARD,BOULEVARD FINANCIAL CENTRE -Stapharm,"Boulevard Super Centre, 
Shop #7, 45 Elma Crescent 
Kingston 20"
